Filename,"Asset ID","Folder ID",CUSTOMFIELD1,CUSTOMFIELD20,CUSTOMFIELD21,CUSTOMFIELD22,CUSTOMFIELD23,CUSTOMFIELD24,CUSTOMFIELD25,CUSTOMFIELD26,CUSTOMFIELD27,CUSTOMFIELD28,CUSTOMFIELD29,CUSTOMFIELD30,CUSTOMFIELD31,CUSTOMFIELD32,CUSTOMFIELD33,CUSTOMFIELD34,CUSTOMFIELD35,CUSTOMFIELD36,CUSTOMFIELD40,CUSTOMFIELD52,CUSTOMFIELD53,CUSTOMFIELD54,Width,Height,KEYWORD
"05.05.2015 Chef Thomas Keller and Developer Kenneth Himmel to Curate Res.._.docx",98805913,6862016,New,"Related Companies",,,,,,,,,,,,,,,,,,,5/5/15,11/19/19,,,"Documents,Tenants,Restaurateurs,Thomas Keller,Executives,Internal,Kenneth A. Himmel,Americas,United States,NY - New York,Hudson Yards"
"06.09.2015 Boies Schiller Flexner Moving to 55 Hudson Yards.docx",98805908,6862016,New,"Related Companies",,,,,,,,,,,,,,,,,,,6/9/15,11/19/19,,,"Documents,Approved,Office,Boies Schiller & Flexner LLP,Hudson Yards North,55 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
20131204-IMG_3736-Credit+Joe+W-2948231906-O.jpg,98805902,6862008,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/24/19,2700,1800,"Photographs,Events,Photographers,Joe Woolhead,Executives,Internal,L. Jay Cross,Executives,Internal,Ronald W. Wackrow,Eastern Rail Yard,10 Hudson Yards"
"09.22.16 DNB Bank Moving North American Headquarters to 30 Hudson Yards.docx",98805900,6862018,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/22/16,11/19/19,,,"Documents,Approved,Office,DNB,Eastern Rail Yard,30 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_071817.pdf,98805894,6861990,New,"Related Companies",,,,,,,,,,,,,,,,,,,7/18/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"01.17.2012 Related Companies and Oxford Properties Announce the Retention of Tutor Perini as Contractor for 26-Acre Hudson Yards Development.docx",98805892,6862028,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/17/12,11/19/19,,,"E-Announcements,ReleasesAmericas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_092017.pdf,98805875,6861996,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/20/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"06.10.2015 Vertical Construction Commences on Hudson Yards Retail.docx",98805856,6862016,New,"Related Companies",,,,,,,,,,,,,,,,,,,6/10/15,11/19/19,,,"Documents,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
"China Life Invests in 35 Hudson Yards.docx",98805852,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/19/19,,,"Documents,Eastern Rail Yard,35 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_032217.pdf,98805846,6861992,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/22/17,11/19/19,612,792,"Fact Sheet,Press Kit,Western Rail Yard,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_022717.pdf,98805845,6861988,New,"Related Companies",,,,,,,,,,,,,,,,,,,2/27/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_022618.pdf,98805842,6861999,New,"Related Companies",,,,,,,,,,,,,,,,,,,2/26/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"12.11.2015 Related and Oxford Close on $5 Billion in Equity and Debt for Site's Retail Center and Flagship Office Tower.docx",98805837,6862016,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/11/15,11/19/19,,,"DocumentsAmericas,United States,NY - New York,Hudson Yards"
"04.12.17 - DD London Announces New Restaurant at HY.DOCX",98805820,6862020,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/12/17,11/19/19,,,"Documents,Approved,Dinning,D&D London,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_030717.pdf,98805819,6861992,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/7/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_010518.pdf,98805809,6862000,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/5/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_December2016.pdf,98805805,6861982,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
"Time Warner.docx",98805801,6862013,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/6/13,11/19/19,,,"E-Announcements,Releases,Approved,Office,Time Warner Inc.,Eastern Rail Yard,30 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
HYA_000000411-005_A.jpg,98805794,6862004,New,,,,,411,5,HYA.411.5,3,"11"" x 8.75"" (24 sheets)",,"Hudson Yards Press Kit","3 folders containing: background info on Related; Oxford; North & South Office towers; E Tower; The Shops & Restaurants; D Tower; general site renderings and photographs. 24 Pages.  2013-Summer",,,3/24/15,,10/13/15,,,7/1/13,11/18/19,331,432,
HY_PressKit_General_120117.pdf,98805786,6861987,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
HY_PressKit_General_120517.pdf,98805785,6861987,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
Presskit_1216_p.pdf,98805783,6861981,New,,,,,,,,,,,,,,,,,,,,12/16/15,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_041018.pdf,98805776,6861998,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/10/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_Press_Kit_2018.pdf,98805772,6861997,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/19/19,612,792,"Fact Sheet,Press Kit,Western Rail Yard,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_September_2016.pdf,98805766,6861982,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
HY_Platform_Graphic_February2017.pdf,98805760,6861988,New,"Related Companies",,,,,,,,,,,,,,,,,,,2/1/17,11/19/19,1224,792,"Fact Sheet,Graphic,Eastern Rail Yard,Land Co-Platform,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_November2016.pdf,98805751,6861982,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
HY_PressKit_General_090517.pdf,98805748,6861996,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/5/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_Sept2014.pdf,98805746,6861980,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/1/14,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_020117.pdf,98805745,6861988,New,"Related Companies",,,,,,,,,,,,,,,,,,,2/1/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_020618.pdf,98805735,6861999,New,"Related Companies",,,,,,,,,,,,,,,,,,,2/6/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"Matthew Rushing Final Bio.pdf",98805727,6861965,New,"Related Companies",,,,,,,,,,"Matthew Rushing Bio - Alvin Ailey",,,,,,,,,,11/20/19,612,792,"Documents,Final"
HY_EngineeredCity_April_2016.pdf,98805717,6861982,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/1/16,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_080317.pdf,98805703,6861985,New,"Related Companies",,,,,,,,,,,,,,,,,,,8/3/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_120417.pdf,98805700,6861987,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
"HY Sizzle Mobile.mp4",98805697,6862011,New,,,,,,,,,,,,,,,,,,,,,11/29/19,480,270,"Videos,Promotional,Eastern Rail Yard"
HY_PressKit_General_November2016.pdf,98805694,6861982,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
PressKit_070915.pdf,98805683,6861981,New,,,,,,,,,,,,,,,,,,,,7/9/15,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
20131204-IMG_3155-Credit+Joe+W-2948231667-O.jpg,98805681,6862008,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/19/19,2700,1800,"Photographs,Events,Photographers,Joe Woolhead,Eastern Rail Yard,10 Hudson Yards"
"Hudson Yards Press Kit 12.11.15 - Hi Res.pdf",98805677,6861950,New,"Related Companies",,,,,,,,,,"Press Kit",,,,,,,,,12/11/15,11/20/19,612,792,"Fact Sheet,Press Kit"
HY_PressKit_General_January2017.pdf,98805665,6861974,New,"Related Companies",,,,,,,,,,"General Press Kit January 2017",,,,,,,,,4/2/18,11/20/19,612,792,"Fact Sheet,Press KitAmericas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_January2017.pdf,98805665,6861974,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/2/18,11/20/19,612,792,"Fact Sheet,Press Kit,Western Rail Yard,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
"View of Hudson Yards from the High Line (c) Related-Oxford.jpg.jpg",98805658,6861946,New,"Related Companies",,,,,,,,,,"View of Hudson Yards from the High Line",,,,,,,,,,11/24/19,5000,3333,"Design Documents,Renderings,Eastern Rail Yard"
"Landscape Graphic 5.23.16.pdf",98805652,6861956,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/20/19,1224,792,"Fact Sheet,Graphic,Eastern Rail Yard,Land Co-Platform,Americas,United States,NY - New York,Hudson Yards"
"Platform Graphic 5.23.16.pdf",98805637,6861956,New,"Related Companies",,,,,,,,,,"Platform Graphic",,,,,,,,,5/23/16,11/20/19,1200,792,"Fact Sheet,Graphic,Eastern Rail Yard,Land Co-Platform,Americas,United States,NY - New York,Hudson Yards"
"09.13.16 Media Advisory - Hudson Yards to Unveil Design of Public Square and Gardens.docx",98805636,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,9/13/16,11/19/19,,,"Documents,Eastern Rail Yard,Landscape,Americas,United States,NY - New York,Hudson Yards"
"05.24.2016 Ten Hudson Yards Media Advisory.docx",98805633,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,5/24/16,11/19/19,,,"Documents,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"View of Hudson Yards, Looking South from the No. 7 Subway Station (c) Related-Oxford-Mitsui.jpg.jpg",98805628,6861946,New,"Related Companies",,,,,,,,,,"View of Hudson Yards Looking South from the No. 7 Subway Station",,,,,,,,,,11/24/19,3264,2177,"Design Documents,Renderings,Eastern Rail Yard"
"Film Presentation for Heatherwick Unveiling - courtesy of Mill+ - HI RES.mp4",98805626,6861966,New,"The Mill",,,,,,,,,,"Film Presentation for Heatherwick Unveiling",,,,,,,,,,11/28/19,,,"Videos,Promotional,Eastern Rail Yard,Vessel"
"04 18 2017 Hudson Yards Vessel Arrives in New York.docx",98805623,6862021,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/18/17,11/19/19,,,"Documents,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
"Hudson Yards Press Kit - 5.23.16.pdf",98805622,6861956,New,"Related Companies",,,,,,,,,,"Press Kit",,,,,,,,,5/23/16,11/20/19,612,792,"Fact Sheet,Press KitAmericas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_043018.pdf,98805619,6861998,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/30/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
10HY_CoachInvite.pdf,98805618,6861956,New,"Related Companies",,,,,,,,,,"10HY Opening Invitation",,,,,,,,,,11/20/19,504,612,"E-Announcements,Invitations,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"Woltz Headshot.jpg",98805617,6861963,New,"Nelson Byrd Woltz Landscape Architects",,,,,,,,,,"Woltz Headshot",,,,,,,,,,11/24/19,8688,5792,"Photographs,Portrait,Architects and Designers,Thomas Woltz,Americas,United States,NY - New York,Hudson Yards"
"Hudson Yards, Viewed from Central Park (c) Related-Oxford.jpg.jpg",98805612,6861946,New,"Related Companies",,,,,,,,,,"HY Viewed from Central Park",,,,,,,,,,11/24/19,5760,3402,"Design Documents,Renderings,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
HY2016Ad_BlackRock_120116.pdf,98805608,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/1/16,11/19/19,783,1044,"Documents,Approved,Office,BlackRock Inc.,Hudson Yards North,50 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"55 Hudson Yards Terrace (c) Related-Oxford-Mitsui.jpg.jpg",98805607,6861946,New,"Related Companies",,,,,,,,,,"55 HY Terrace",,,,,,,,,,11/24/19,4000,3793,"Design Documents,Renderings,Hudson Yards North,55 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"BCG@10HY_press release_final_17Jan2017.pdf",98805599,6862021,New,"Related Companies",,,,,,,,,,,,,,,,,,,1/17/17,11/19/19,612,792,"Documents,Approved,Office,Boston Consulting Group,The Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"11.12.2015 BCG Moving to 10 Hudson Yards.docx",98805597,6862016,New,"Related Companies",,,,,,,,,,,,,,,,,,,11/12/15,11/19/19,,,"Documents,Approved,Office,Boston Consulting Group,The Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
COACH-HY10.mov,98805591,6861956,New,"Related Companies",,,,,,,,,,,,,,,,,,,5/31/16,11/29/19,1920,1080,"Videos,Promotional,Approved,Office,Coach Inc.,Eastern Rail Yard,10 Hudson Yards"
COACH-HY10.mov,98805591,6861956,New,,,,,,,,,,,"Coach - 10HY",,,,,,,,,5/31/16,11/29/19,,,"Videos,Promotional,Approved,Office,Coach Inc.,Eastern Rail Yard,10 Hudson Yards"
"12.04.13 Hudson Yards Exhibit Advisory.docx",98805590,6862013,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/4/13,11/19/19,,,"E-Announcements,ReleasesAmericas,United States,NY - New York,Hudson Yards"
"06.04.2015 Related Companies Names Timur Galen Executive Vice President.docx",98805587,6862017,New,"Related Companies",,,,,,,,,,,,,,,,,,,6/4/15,11/19/19,,,"DocumentsAmericas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_030617.pdf,98805585,6861992,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/6/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"6.17.2008 Related Comapnies Names Jay Cross President of Related Hudson Yards.docx",98805581,6862024,New,"Related Companies",,,,,,,,,,,,,,,,,,,6/17/08,11/26/19,,,"E-Announcements,Releases,Executives,Internal,L. Jay Cross,Americas,United States,NY - New York,Hudson Yards"
"Hudson Yards Construction - December 2012 - October 2015.mov.mp4",98805580,6861946,New,"Related Companies",,,,,,,,,,"HY Construction - December 2012 - October 2015 - Time Lapse",,,,,,,,,,11/29/19,,,"Videos,Time Lapse"
20131204-IMG_3330-Credit+Joe+W-2948231760-O.jpg,98805579,6862008,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/24/19,2700,1800,"Photographs,Events,Photographers,Joe Woolhead,Eastern Rail Yard,10 Hudson Yards"
"10 Hudson Yards Topping Out - 6 (c) Joe Woolhead.jpg",98805578,6861946,New,"Related Companies",,,,,,,,,,"10HY Topping Out",,,,,,,,,,11/24/19,5616,3744,"Photographers,Joe Woolhead,Eastern Rail Yard,10 Hudson Yards"
"Restaurant View, The Shops at Hudson Yards (c) Related-Oxford.jpg.jpg",98805576,6861946,New,"Related Companies",,,,,,,,,,"Restaurant View, The Shops at HY",,,,,,,,,,11/24/19,5000,3413,"Design Documents,Renderings,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
"NBW Final Design Statement - Hudson Yards Public Square and Gardens.docx",98805574,6861965,New,"Nelson Byrd Woltz Landscape Architects",,,,,,,,,,"NBW Final Design Intent Statement",,,,,,,,,,11/19/19,,,"Documents,FinalAmericas,United States,NY - New York,Hudson Yards"
"55 Hudson Yards, Aerial Day (c) Related-Oxford-Mitsui.jpg.jpg",98805571,6861938,New,"Related Companies",,,,,,,,,,"55 HY Aerial at Day",,,,,,,,,,11/24/19,3679,6340,"Design Documents,Renderings,Hudson Yards North,55 Hudson Yards"
"55 Hudson Yards, Aerial Day (c) Related-Oxford-Mitsui.jpg.jpg",98805571,6861938,New,"Related Companies",,,,,,,,,,"55 HY Aerial at Day",,,,,,,,,,11/24/19,3679,6340,"Design Documents,Renderings,Hudson Yards North,55 Hudson Yards"
"Press Kit - Lo Res.pdf",98805567,6861935,New,,,,,,,,,,,,,,,,,,,,,11/20/19,612,792,"Fact Sheet,Press Kit"
"Press Kit - Lo Res.pdf",98805567,6861935,New,,,,,,,,,,,,,,,,,,,,,11/20/19,612,792,"Fact Sheet,Press Kit"
"Press Kit - Lo Res.pdf",98805567,6861935,New,,,,,,,,,,,,,,,,,,,,,11/20/19,612,792,"Fact Sheet,Press Kit"
"Press Kit - Lo Res.pdf",98805567,6861935,New,,,,,,,,,,,,,,,,,,,,,11/20/19,612,792,"Fact Sheet,Press Kit"
"10 Hudson Yards Topping Out - 8 (c) Joe Woolhead.jpg",98805565,6861946,New,"Related Companies",,,,,,,,,,"10HY Topping Out",,,,,,,,,,11/24/19,5616,3744,"Photographers,Joe Woolhead,Eastern Rail Yard,10 Hudson Yards"
"12.16.2010 Prepatory Effort to Begin On Hudson Yards Development Marking the First Site Work on the 26-Acre Site.docx",98805563,6862026,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/16/10,11/19/19,,,"E-Announcements,Releases,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
"04.18.2017 Vessel, The Centerpiece of Hudson Yard's Public Square and Gardens, Begins to Rise on Manhattan's West Side.docx",98805562,6862020,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/18/17,11/19/19,,,"Documents,Eastern Rail Yard,Vessel,Americas,United States,NY - New York,Hudson Yards"
"10.07.2015 Ten Hudson Yards Topping Out Today at Noon.docx",98805561,6862017,New,"Related Companies",,,,,,,,,,,,,,,,,,,10/7/15,11/19/19,,,"Documents,Eastern Rail Yard,10 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"07.31.2017 Global Law Firm Cooley Inks Deal to Move its New York Headqua.._.docx",98805556,6862020,New,"Related Companies",,,,,,,,,,,,,,,,,,,7/31/17,11/19/19,,,"Documents,Approved,Office,Cooley LLP,Hudson Yards North,55 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"Press Kit Lo Res.pdf",98805555,6861945,New,,,,,,,,,,,,,,,,,,,,,11/20/19,612,792,"Fact Sheet,Press Kit"
"03.19.14 Construction Begins on Hudson Yards Eastern Platform.docx",98805554,6862014,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/19/14,11/19/19,,,"E-Announcements,Releases,Eastern Rail Yard,Americas,United States,NY - New York,Hudson Yards"
"12.08.2016 Related and Oxford Unveil Design for 50 Hudson Yards and Welcome BlackRock.docx",98805552,6862018,New,"Related Companies",,,,,,,,,,,,,,,,,,,12/8/16,11/19/19,,,"Documents,Approved,Office,BlackRock Inc.,Hudson Yards North,50 Hudson Yards,Americas,United States,NY - New York,Hudson Yards"
"05.09.2017 Hudson Yards Will Offer 25 Restaurant and Food Concepts Including a 35,000-Square-foot Spanish Culinary Experience at Manhattan's Newest Dining Destination.docx",98805547,6862020,New,"Related Companies",,,,,,,,,,,,,,,,,,,5/9/17,11/19/19,,,"Documents,Eastern Rail Yard,10 Hudson Yards,Eastern Rail Yard,20 Hudson Yards - Retail,Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_081817.pdf,98805546,6861985,New,"Related Companies",,,,,,,,,,,,,,,,,,,8/18/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
HYA_000000411-006_A.jpg,98805541,6862004,New,,,,,411,6,HYA.411.6,1,"12.25"" x 9.25"" x 0.75""",,"Hudson Yard Press kit","Folder containing: HY Press releases from March-June 2014; Build Your Own HY Cards; General Hudson Yard pamphlet; (11) sheets of building plans; 1 general Hudson Yards spiral pamphlet. Also contains Joanna Rose's contact information. March-June 2014",,,3/24/15,,10/13/15,,,3/1/14,11/18/19,281,360,"Americas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_031318.pdf,98805540,6862002,New,"Related Companies",,,,,,,,,,,,,,,,,,,3/13/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
20131204-IMG_3720-Credit+Joe+W-2948231885-O.jpg,98805539,6862008,New,"Related Companies",,,,,,,,,,,,,,,,,,,,11/24/19,2700,1800,"Photographs,Events,Photographers,Joe Woolhead,Executives,Internal,L. Jay Cross,Executives,Internal,Ronald W. Wackrow,Eastern Rail Yard,10 Hudson Yards"
"08.31.2016 - Related EB-5 Press Release - Manhattan Tower I-526 Approval.._.docx",98805533,6862019,New,"Related Companies",,,,,,,,,,,,,,,,,,,8/31/16,11/19/19,,,"DocumentsAmericas,United States,NY - New York,Hudson Yards"
"Related Companies and Oxford Properties Group ClosingFinal.docx",98805532,6862013,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/10/13,11/19/19,,,"E-Announcements,ReleasesAmericas,United States,NY - New York,Hudson Yards"
HY_PressKit_General_042618.pdf,98805523,6861998,New,"Related Companies",,,,,,,,,,,,,,,,,,,4/26/18,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"Vertical Construction of The Shops & Restaurants at Hudson Yards (c) Related Oxford.jpg",98805521,6861933,New,"Related Companies",,,,,,,,,,"Vertical Construction of The Shops & Restaurants at HY",,,,,,,,,,11/24/19,4928,3264,"Design Documents,Renderings,Eastern Rail Yard,20 Hudson Yards - Retail"
"Vertical Construction of The Shops & Restaurants at Hudson Yards (c) Related Oxford.jpg",98805521,6861933,New,"Related Companies",,,,,,,,,,"Vertical Construction of The Shops & Restaurants at HY",,,,,,,,,,11/24/19,4928,3264,"Design Documents,Renderings,Eastern Rail Yard,20 Hudson Yards - Retail"
"Vertical Construction of The Shops & Restaurants at Hudson Yards (c) Related Oxford.jpg",98805521,6861933,New,"Related Companies",,,,,,,,,,"Vertical Construction of The Shops & Restaurants at HY",,,,,,,,,,11/24/19,978,648,"Design Documents,Renderings,Eastern Rail Yard,20 Hudson Yards - Retail"
HY_PressKit_General_050317.pdf,98805513,6861993,New,"Related Companies",,,,,,,,,,,,,,,,,,,5/3/17,11/19/19,612,792,"Americas,United States,NY - New York,Hudson Yards"
"10 Hudson Yards Topping Out - 4 (c) Joe Woolhead.jpg",98805512,6861946,New,"Related Companies",,,,,,,,,,"10HY Topping Out",,,,,,,Construction,,,11/24/19,5616,3744,"Photographers,Joe Woolhead,Eastern Rail Yard,10 Hudson Yards"
Presskit_0116_p.pdf,98805506,6861982,New,,,,,,,,,,,,,,,,,,,,,11/19/19,612,792,
